"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","Other","95","45429","343079","try to minimize damage","2017-05-30 00:04:49","221"
"A28NL6E1D2HLD2","sp_v2_s","37TD41K0AHARS0O57SVLOJYGJ04SC8","Female","90","60205","315328","Lose as little points as possible. ","2017-05-30 00:05:08","222"
"A1PTX4IB9R34LI","sp_v2_s","3NL0RFNU0FOQ9DYI94G1EZVIATB4KR","Male","86","42917","329374","No comment","2017-05-30 00:05:22","225"
"A3454T4PU9GJM0","sp_v2_s","3X65QVEQI0O4ONTFNJYKCXKLR6WCLE","Male","78","60418","384620","nO","2017-05-30 00:05:40","228"
"AFALUZ9511OVV","sp_v2_s","3BGYGHDBBXLLPJF5GKR9LOCQ9FT227","Male","93","69384","341555","Minimize losses at every turn","2017-05-30 00:06:03","234"
" A3SOJWB6AZWZV9
","sp_v2_s","3Z7VU45IPYI4690LMN093GCS2IE1ZX","Male","92","82159","381766","don't lose points","2017-05-30 00:06:29","241"
"A2HHGI5CNSS5PD","sp_v2_s","384PI804XS27Y8TPVC21TIWFAB7S0F","Male","55","88684","443245","Got to suspect the other people weren't real here.  Or I'd like to believe that nobody could be so stupid as to pick the take-points-from-the-other-person option for the 15th consecutive time after being punished the first 14 times.","2017-05-30 00:06:39","243"
"A1VVXZYA3TPHP0","sp_v2_s","32VNZTT0A75CWHBDZOPYFBHW5L54RK","Male","57","34047","388134","No I just tried to be fair.","2017-05-30 00:06:51","247"
"A1G187YBG0DVMQ","sp_v2_s","39ZSFO5CA8XUFRMF6P77QOTZUHYUJ4","Male","82","55633","349449","its almost impossible to gain points since my partner will punish any +2 so keep it neutral.","2017-05-30 00:06:57","251"
"AVD6HMIO1HLFI","sp_v2_s","3JBT3HLQF837N1JN7PBZ4CUQ5YJPZO","Male","77","98715","406487",,"2017-05-30 00:07:06","254"
"A1EIVUU0RIGPFT","sp_v2_s","3BXQMRHWKZZKGZS09MKZ6GLGYBTMU0","Female","79","58672","421607","just going with what you feel its right","2017-05-30 00:07:11","256"
"A11W7R2O4RQSSS","sp_v2_s","32AT8R96GLANEU55TJGLIPKMQ0BUSK","Female","53","72091","370058",,"2017-05-30 00:07:34","261"
"AMX5R6NLYNA2K","sp_v2_s","3BEFOD78W6ULZ1YLUGTHTCNMZY64MW","Male","82","124092","419873","I just tried not to lose points. It was pretty apparent if I gave myself a point and took one from my partner...they would punish me. So the 0 for both option turned out to be the best.","2017-05-30 00:07:51","265"
"A1R0689JPSQ3OF","sp_v2_s","3DBQWDE4Y6Z9D2NLKMRRBJI04KAN5J","Male","91","94161","453347","I tried not to lose any points. if I was x I figured if I chose a and gained a point then the other person would probably penalize me and subtract 4 so I just chose 0 for both and hoped they would choose the same. when I was y I started doing 0 for both but the other guy was a jerk and subtracted from me so I penalized him for taking points away from me.","2017-05-30 00:07:51","266"
"A2QKAA5YS0P4CI
	","sp_v2_s","3HMVI3QICJT41JQGQ1YQP93QWOA1Y6","Female","81","50016","460841","I tried not to lose any points or at least as few as possible","2017-05-30 00:08:01","268"
"A1FDLM4FTZCRZN","sp_v2_s","3OVR4I9USPKCKGWDM90YAL7R9Z2Q44","Male","97","101309","465803","I let the other person decide how I played. If they cost me points I would choose to let them lose points.","2017-05-30 00:08:01","269"
"AA4KKLIU4C3NY","sp_v2_s","3A4NIXBJ760HX95608SYFTPXLK0ML6","Male","81","139653","541675","Interesting study :)
Well, just to preserve my points lol
Thanks!","2017-05-30 00:08:17","274"
"A3KOT3B7E14QGF
A3KOT3B7E14QGF
","sp_v2_s","35K3O9HUABEXLT3XXZ1H78F4FMNFE5","Female","77","122514","528241","I tried to be fair to the other person. I noticed that it would be better if neither one of us lost points. ","2017-05-30 00:08:23","276"
"A2SY2N44N1RWVA","sp_v2_s","3M1CVSFP606RM5CUVAAPNOTR19YQAF","Female","87","99569","362276",,"2017-05-30 00:08:30","281"
"A1J21DM2Z753X4","sp_v2_s","3FPRZHYEPY8J7S9Q8UPP63ETCRLV3I","Male","95","83663","400984","My strategy was to incentivize the other players not to hurt each other. ","2017-05-30 00:08:39","284"
"A3L5XFNSOY6QET","sp_v2_s","3CCZ6YKWR7KOO0JRJC8MTINGZVU593","Male","54","156581","410453","I always went with the option that gave me the best shot at not losing.","2017-05-30 00:09:00","289"
"A3KS73J4FNRSJ2","sp_v2_s","3Q5C1WP23M26ZVGWFZTTEC5X1J651U","Female","98","103770","472081","Well if I ever chose A, I would get punished much more. So it was safer just to hold on to the points I had.","2017-05-30 00:09:09","294"
"A2AGQGMZVSZVUJ","sp_v2_s","3Z7ISHFUH0WMH9K6L89OIQZ0GOJZ8E","Female","70","43147","489014","Tried to keep as many points as possible.","2017-05-30 00:09:14","296"
"A2VNK2H6USLQTK","sp_v2_s","39DD6S19JPC3QAUXYBVOA0VMRRHZED","Female","85","107154","585992","Almost no strategy...It's either stay even or lose/lose situation.","2017-05-30 00:09:37","309"
"A1GVHFB9F270GX","sp_v2_s","3907X2AHF06HHQGBII2LH1KJKPL2PU","Male","79","51704","440359","fun game. I picked whatever favored me the most","2017-05-30 00:09:48","313"
"A2TPOE6VAJHEH4","sp_v2_s","3NPFYT4IZC5C5TQ93OXRDI0NW7YXGV","Female","67","155865","636444","It was interesting. I have to admit, it got a little aggravating sometimes.","2017-05-30 00:09:48","314"
" A19V3A2N7GWL77
","sp_v2_s","3TUI152ZZBOVSHZUZRHWCN0OXFSQ1R","Female","52","48981","624670","just kept with what would give me points.","2017-05-30 00:10:18","325"
"A1WWPREEDRRKML","sp_v2_s","3OCHAWUVGOLH7FMSTFI6BASG3OFKXL","Male","91","85326","412157","trying to maximize bonus by working with others to subtract the least","2017-05-30 00:10:19","326"
"A2MCRVU8I9VNHG","sp_v2_s","3QECW5O0KH278FS5HID3KIOST2X5T3","Male","97","77788","405229","I only took points away to punish, otherwise I chose the option that was fairest.","2017-05-30 00:10:30","333"
"A3NHJPE6326P9V","sp_v2_s","3AUQQEL7U5UNQ0ATP77645GM9F1V0N","Female","82","167367","540495","i just wanted to do right","2017-05-30 00:10:49","338"
"A3CWEIEY3TGJFX","sp_v2_s","3UJ1CZ6IZHQ6TFFQSI8DADS6RJJ5SE","Male","58","83408","445782","I didn't want to gain at the expense of my partner; however, when I played Y I decided to punish X for doing so.","2017-05-30 00:10:59","343"
"A34YGHVPXQZVBX","sp_v2_s","3YOH7BII098P3QHXT0HONPVVND7KVI","Male","96","93552","653434","I wanted to preserve points, as either player X or Y.  As X, I knew that Y could retaliate much more strongly than I could hurt them, so I always chose B trusting they would choose D.  As player Y, I wanted to go with D too, I had no points to earn with option C, just harm to inflict on the other player.  I only employed C when the first player wouldn't play fair with me for several rounds of me trying to offer a Deal.  I was prepared to retaliate again if I needed to, but the first first player stayed a Collaborator.  Yes, I recognize the Prisoners' Dilemma, with some twists.","2017-05-30 00:10:59","344"
"ANGR8OYXOVX6H","sp_v2_s","3VHP9MDGRNLIOVJJ18VMHKF1UAAFCC","Male","96","43936","435622","I took 0 points away just about every time to save myself points.","2017-05-30 00:11:01","345"
"A9ZS3JB9F24V4","sp_v2_s","3XXU1SWE8MW3YC7VECGA8I29O510AS","Female","82","58569","444595","This was a very interesting game to play. My strategy was to go for option b if I was first, so 0 points would be taken from me and 0 points would be taken from my partner. When I did that, I hoped that my partner would see it as a sign of good faith, and choose the corresponding option that wouldn't take points away from either of us, so neither of us would lose our points at the end. However, when I was faced with one opponent who kept choosing option A and taking a point away from me, I retaliated by choosing option c (-1 point for me but -4 points for my partner) to make sure that I wouldn't lose all of my points.","2017-05-30 00:11:27","353"
"A2VNR6984SDFGQ","sp_v2_s","3018Q3ZVOIRRY6RU8PZPSE3WXV1AR1","Female","56","63787","378702","I tried to get points and not offend the other person.","2017-05-30 00:11:28","354"
"A25AJ66CYVUTBR","sp_v2_s","37M28K1J0QEA0I8H0KQGQNH5NE7AJ9","Female","74","65303","389849","I feel like this was set up for me to fail","2017-05-30 00:11:55","358"
"A39H7AIBML8PTD","sp_v2_s","3M1CVSFP606RM5CUVAAPNOTR19ZAQ0","Female","91","74977","434212","I was slow to realize that it works out better if we just don't take any points, no gain no lose. Inevitably if I take money from somebody, they will only take money from me. So we both lose.","2017-05-30 00:12:19","365"
"AGRKG3YT3KMD8","sp_v2_s","3RWE2M8QWHBAIV1KNGLFUOM9NCZN0Y","Male","85","91266","387934","I tried to get the Sam person to change their mind after a while by ""punishing"", but they still kept stealing, so I tried minimizing my losses.","2017-05-30 00:12:57","375"
"A3JTDNRJYVCGQD","sp_v2_s","3C8HJ7UOP7V12YMAF9J7N80V0T8MZP","Female","87","108344","457874","When I played role x, I would choose b because I figured if I chose a the other player would take points away from me. When I played role y I would take points away from the other player if they chose to take points away from me.","2017-05-30 00:13:24","379"
"A3JT22BLG866CK","sp_v2_s","3TOK3KHVJTJ6IR1G9U61OSW1L0B7OY","Male","42","82033","368004","I just wanted to maximize my bonus and minimize my loss.","2017-05-30 00:13:33","382"
"AB0Q4NUT27398","sp_v2_s","358010RM5EUVNQG4SJWDDJ3XJMMVXI","Male","94","266077","522492","my strategy was to do as least harm as possible","2017-05-30 00:13:37","383"
"A3URMVMNIEN5LX","sp_v2_s","3JZQSN0I3QBV57ZO3UR57B0GS22FGM","Female","85","144254","668552","I noticed everytime I hit the A key to add points to mine and take from them, they in turn will take 4 from me by hitting the C key. I just started clicking B ","2017-05-30 00:13:38","384"
"A2W3KKNN3CAY66","sp_v2_s","3NGI5ARFTT6AS5YFZE27CIAESJ71PC","Female","63","100665","855305","to lessen the amount of points i got. ","2017-05-30 00:13:47","385"
"A25XQ0GFZ57PPU","sp_v2_s","3P59JYT76LLF9I9IZZB5MBLG9S62TZ","Female","89","142276","510735","To not give any losses, or take any losses, if I could avoid it.","2017-05-30 00:14:04","386"
"A2FZ869A68C64U","sp_v2_s","32RIADZISS5OXWBQEDP35LMSRNO4S8","Male","61","109851","442285","I was punishing anyone who took from me, and staying neutral when given the chance to initiate the transactions","2017-05-30 00:14:23","390"
"A2TDGWWPX6IMIZ
","sp_v2_s","37UEWGM5HT9V4IEUC66WHDATT1V1R4","Male","93","397119","879661","My strategy was to lose as few points as possible by not costing the other player points.","2017-05-30 00:14:24","391"
"A3I9XLIHPPWPN1","sp_v2_s","3J2UYBXQQLD2BAVSOZZYSD0NSMB608","Female","93","127683","594950","My strategy was to lose as few points as possible. It seems like the other participants felt the same way.","2017-05-30 00:15:04","396"
"A133QG754CGS3I","sp_v2_s","38F71OA9GTXVXHVAEXP0KGKDOOFFMV","Male","62","142977","541613","None","2017-05-30 00:15:12","397"
"A2JPOXYZM5AJZZ","sp_v2_s","3QBD8R3Z21K9Z4JX7W8ULGCRUYL4OB","Male","78","287390","850109","If I couldn't gain points then at least not lose any. ","2017-05-30 00:15:24","399"
"A3KFK7FUIHCWJI

","sp_v2_s","3HPZF4IVNMUOOM0E6YNA65MH0L1CY7","Female","73","108289","646855","N/A","2017-05-30 00:15:37","403"
"A2HRMD4SU5X2EW","sp_v2_s","3R5F3LQFV2LP217MSPYKFCP0VTNZOH","Female","97","224093","845186","My strategy was if I'm as Role X, I don't initialize any behavior that will harm others(i.e. I don't choose Option A) unless Role Y started to harm me(i.e., Role Y chose Option C). If I'm in Role Y, if Role X started to harm me (i.e., choose Option A), I'll give him one more chance to correct his error(i.e., I'll choose Option D as a return), but if he continues choosing Option A, then I'll choose Option C to fight back until he switch to choosing Option B, then I'll switch to Option D accordingly. ","2017-05-30 00:15:45","405"
"A2H5V1V8QIY8Y7","sp_v2_s","3ZWFC4W1UU8MUX82J5LH6FENUBEFRJ","Female","97","154778","563748","I wanted to do the thing that would give the fairest outcome to both players.  I only deducted points when the other player did so first, to get him to stop.","2017-05-30 00:16:02","408"
"A3OV174HQJIJK8","sp_v2_s","3OE22WJIGIPB1EQS1FRGNP5L8CQUQV","Male","98","176225","928770","I just tried to be fair and treat the other worker the same way he treated me. ","2017-05-30 00:16:24","413"
"A3GPPNKEAT48D8
","sp_v2_s","3Z4AIRP3C6EF1E06L5CO6VWHUIG1X0","Male","97","58041","341131","make sure to keep people fair my punishing greed","2017-05-30 00:17:01","418"
"A1DOKYGCXQG3FE","sp_v2_s","3CP1TO84PT2DOGYSY3T7JVF2TPK52B","Female","97","49454","474293","I tried to be an honest player and not trick the other players. I realized that if I took more money than the other player they would retaliate against me in a worse way so I always took the second option.","2017-05-30 00:17:27","425"
"A3N8JP3QR3VPE8","sp_v2_s","31HQ4X3T3SBKV4IBK5OKR2O3D9ISLO","Female","75","101703","496227","no comments","2017-05-30 00:18:15","433"
"A1IXH2QLUU5BKZ","sp_v2_s","34Z02EIMISE8D864KC7R3NS1CUM0TD","Male","71","96825","502163","I just tried to hold on to as many of my points as I could rather than trying to take away someone else's points. The amount of points an opponent has does not affect me. The way the game is set up, I should be worried about my points more than affecting an opponents.","2017-05-30 00:18:38","435"
"ARJ8XLYXTWNE","sp_v2_s","3SB5N7Y3O35483KY0C8K44DCM0E0G4","Female","89","115781","469945","I didn't have a strategy. I just wanted to treat my partners fairly.","2017-05-30 00:20:18","449"
"A2W8ZODKKQ7RYP","sp_v2_s","3TU5ZICBRD2D3HJFYCQBRXNWBLYQ8B","Female","51","95870","429982","I did not have a strategy, they always took the most they could from me so I decided to take what I could from them.","2017-05-30 00:20:41","450"
"A1X84T4EFW04GZ","sp_v2_s","3J88R45B2GZII6J867NE7REFXYLXPZ","Male","40","105732","473600",,"2017-05-30 00:21:12","452"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","Female","97","217675","563580","Since there wasn't very good options to choose, I tried to choose Option B. But, if my partner made me lose points then I would choose Option A as a response.","2017-05-30 00:27:17","477"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","Male","83","169654","435554","I tried not to be greedy and made decisions that would help me avoid losing points. I found the study to be interesting. ","2017-05-30 00:27:33","479"
