"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A2UIGDOLX5RV95","sp_v3_pilot1","36DSNE9QZ5ZZ2M2IA3VYRI1AEB6JOA","Female","69","39320","425348",,"2017-06-21 13:32:45","849"
"A2QUXO9OJY69QM","sp_v3_pilot1","3HHRAGRYX86AWAP9OR4L2ON7I6UO9K","Male","74","60187","438521",,"2017-06-21 13:32:45","850"
"A3NUIEPMZSHEZ4","sp_v3_pilot1","34X6J5FLPTZ2NYFYPGN2GNWATCOJQI","Male","100","73506","442433","I never punish anyone on Mturk unless they deserve it, and I try not to be greedy. ","2017-06-21 13:32:54","851"
"A06711361DP1JL158BWS8","sp_v3_pilot1","3G5W44VEU7J6LTR245I2NOSL2EFGKJ","Male","98","51693","452956","To keep as many points as possible, so had to select 0 to make sure points were not taken","2017-06-21 13:33:01","852"
"A2C84POENS2UNY","sp_v3_pilot1","3OVHNO1VE62YY4GX2GK44ID1TVCDZS","Female","60","35247","461579","I tried to maximize my points while still punishing them for being selfish and being fair when they were also fair.","2017-06-21 13:33:08","853"
"A14X6DB5FKB7X7","sp_v3_pilot1","37M28K1J0QEA0I8H0KQGQNH5PU2JAB","Male","75","54398","512025",,"2017-06-21 13:33:32","854"
"A1OGWGOMZ4Y3WK","sp_v3_pilot1","308XBLVESI5WHGWME3ZLNPN2HTHRB6","Male","55","47028","467063","Be as selfish as possible and only worry about my points not going down","2017-06-21 13:33:34","855"
"A2VXAIQ2WRMFDE","sp_v3_pilot1","37U1UTWH9VNDFIYFBRFBWNX19NWR87","Female","66","52526","486429","I tried to be fair but a lot was taken from me at first. When I was paired with some one new, I tried to keep our scores as even as possible so we could both come out ahead. ","2017-06-21 13:33:40","856"
"A1AZ97YYFVWFGC
","sp_v3_pilot1","3MMN5BL1WZ50H5FHU2OYJ7VGNE5M3M","Male","59","61680","493097",,"2017-06-21 13:34:03","857"
"A2YCMT5BPA0AG9","sp_v3_pilot1","3KJYX6QCM9CUS6BFBFHCMAVIA43VJO","Male","85","64058","512888","no strategy since opponent always picked the same thing","2017-06-21 13:34:04","858"
"A1BQCRF5Q76YFY
","sp_v3_pilot1","3T111IHZ5ERDTNHPGJLPWJSCTTER9W","Female","99","47953","514942","to get the most for m e","2017-06-21 13:34:07","859"
"A2X4F29GY5SGO1","sp_v3_pilot1","3FIUS151DV31J7VJEEXNPW0SVXYGGG","Male","97","97188","533651","if i choose to be nice, they will too. if they choose to be bad i will too. ","2017-06-21 13:34:29","860"
"A1ZB2NY0F9QNP0","sp_v3_pilot1","320DUZ38G7NBA9LKMKIQM9S8NPFJGN","Female","100","45188","511818","I just did the right thing and maximized everyone's earnings.","2017-06-21 13:34:32","861"
"A1CUTQUSPA2DPU","sp_v3_pilot1","3EO896NRAWWFFE7Q6KHXLS7XDJNTJ6","Male","72","73143","550746","Simply choose the option I thought was beneficial to both people playing. ","2017-06-21 13:34:32","862"
"A3NOW8149PW2VA","sp_v3_pilot1","3OONKJ5DKCKTK346MBIHTUIX66XOBU","Female","66","61233","552767","no","2017-06-21 13:34:42","863"
"A1AO1LLP3INAZF","sp_v3_pilot1","3018Q3ZVOIRRY6RU8PZPSE3WZBWRAB","Female","97","160530","534254",,"2017-06-21 13:34:51","864"
"A3UPZ88FI1EJC","sp_v3_pilot1","37TRT2X24QSFJSD96YQCLY1B7CNJB6","Female","83","81679","534769","It did not take me long to figure out it is best to keep things at zero rather than take away from the other player.","2017-06-21 13:34:56","865"
"AX06ZUCRNSGB3","sp_v3_pilot1","3HUTX6F6VUOZWQ4A3IP6S1FTC0KO2S","Female","40","90321","534181","no, ","2017-06-21 13:35:05","866"
"A1MS98IHMLG24F","sp_v3_pilot1","386PBUZZXFYRW1ZLXBF6Z1XGJ61JLT","Male","96","86585","581689",,"2017-06-21 13:35:06","867"
"AV4YZ9F1Z7D0E","sp_v3_pilot1","36AHBNMV1RDYTE6S6UILQB4ZN18YDM","Male","54","106758","626126","I tried to minimize my point loss as much as possible. No issues, thanks!","2017-06-21 13:35:52","868"
"A19WXS1CLVLEEX","sp_v3_pilot1","3P4RDNWND57P60RFC8IT7L5O227JIF","Male","39","84698","590141","To not lose money","2017-06-21 13:35:56","869"
"A3EPDU2O2JMR50","sp_v3_pilot1","3M68NM076H8QB4FRICIDC91A3S6R6L","Male","95","82869","665359","My strategy was to win / keep as many points as possible.  When I was in role X I wanted to ""test"" out the other person by choosing the option to give myself points but take points from them.  Every time I did this, I found that I was punished on the next round and I would lose more points than I was gaining.  So I ended up picking the option to do nothing.  And in role Y I noticed that the other players were choosing to do nothing so I also decided to do nothing.","2017-06-21 13:36:18","870"
"AYKZ9H4BNW810","sp_v3_pilot1","3WYP994K17SZ85RDW7A7K5U76FLY6U","Male","35","52767","467109",,"2017-06-21 13:36:21","871"
"A2G7N0X0PNX0EE","sp_v3_pilot1","3AMYWKA6YBNNERNBQK19IEW5S5MO69","Male","99","112060","633716","Why did you design it this way? Participants don't have a choice and they end up making the same decision over and over again. When there is no real choice involved and there are fake wait times added to make the experiment seem more realistic, the participant just ends up feeling bored and like they're wasting their time.","2017-06-21 13:36:35","872"
"A23KAJRDVCVGOE","sp_v3_pilot1","3L4D84MILZTPA5GV6Q0879492PSJHM","Male","68","85340","563771",,"2017-06-21 13:36:40","873"
"A336V7IY38Q2WN","sp_v3_pilot1","3DR23U6WE5F74YLYSJ66OCU58BRTEL","Male","96","131886","575389","No further remarks","2017-06-21 13:36:50","874"
"AMPMTF5IAAMK8","sp_v3_pilot1","3PIWWX1FJJ7L1BBLUQ3TJMKOFHWJJR","Male","39","94761","572277","I don't know","2017-06-21 13:36:50","875"
"A3JOUIM3CDC1DZ","sp_v3_pilot1","3VNL7UK1XFKZACLUNUQC6UF5KC6TF3","Male","106","147663","670462","The student went smoothly. When I play as X, I tried to get points for a few rounds. If the other player choose C, I had to stop and play fair with the other.","2017-06-21 13:36:54","876"
"A2A27TLFWKDXUW","sp_v3_pilot1","3YJ6NA41JBHHNMEJP38DGI60OG2JPR","Male","100","106221","672433","My strategy was to give the other no reason to deduct point and only punish them if they did something to harm my score.","2017-06-21 13:37:20","877"
"ASI2B6A3Y556Z","sp_v3_pilot1","3OB0CAO74HQF5UBUSQ1BHWJXFT1YHV","Female","100","118396","678555","To earn as many points as possible.","2017-06-21 13:37:24","878"
"A361EVMLK9O0G1","sp_v3_pilot1","3F0BG9B9MPOIC55IFHFZQJU31Q5Y7T","Male","118","80997","609909","minimize loss","2017-06-21 13:37:37","879"
"A2YE2I9DYV9OKW","sp_v3_pilot1","320DUZ38G7NBA9LKMKIQM9S8NPFGJK","Male","37","96893","723061","My strategy was to try to avoid losing money, since there were no options that gained money that weren't at someone else's expense. When I was in the Y role I used the option to make the other player lose 3 when they chose to take money, hoping they would take the hint that they should stop, at which point I would be content to use the neutral option.","2017-06-21 13:37:48","880"
"A180J6JI4SB56X","sp_v3_pilot1","3TVRFO09GKGSRL4AEFU7QA5VU4GLXJ","Female","61","68585","647468","My strategy was to see what the other person would do first. When I went first I was greedy, but both of us started with 100 points. As soon as I was second, I decided to only do option C if they chose option A. After a round or two I had already realized that doing option C is just pure spite and depending on the number of rounds I would lose more if the other person wasn't discouraged. My bluff was called so I just gave up and went with option D for the rest of the game.","2017-06-21 13:38:00","881"
"AFZKP8TAXAUCR","sp_v3_pilot1","3RSDURM96AN3LKKS2PT5WTMKND9YEF","Male","100","83072","472162","Not to take any away from the other person, so they don't do the same to me.","2017-06-21 13:38:08","882"
"A2J6T9ELNZ97JH","sp_v3_pilot1","3OLQQLKKNSQDQVPTGPS2M67WA90JE6","Male","100","200383","768492","My strategy was to hold what I have. I felt the best way to do that was to always select the 0,0 option as long as the other player did the same.","2017-06-21 13:39:22","883"
"A192MH226Q1NT4","sp_v3_pilot1","3ATPCQ38J8B0V73GMKRJ0AWT2YBYAK","Female","65","206579","651129","even though I lost more points, I  wanted to punish the player x that kept choosing A","2017-06-21 13:39:24","884"
"A1UCB0D27PY623","sp_v3_pilot1","38JBBYETQOBNND68DI5YG4IDSCAE4A","Male","100","52949","521504","I did not have a strategy unless pressing the button that means that I do not lose money is a strategy.","2017-06-21 13:39:27","885"
"A2AG45K4ULNBHF","sp_v3_pilot1","3RGU30DZTA9B2JH6XNGLZEC5JBRJMV","Female","100","90978","534251","Trying to be fair so we both made the most.","2017-06-21 13:39:51","886"
"A3NS1DN6J7Z3EU","sp_v3_pilot1","3AAPLD8UCCIJO8C0IKEC9FRI0RJTH1","Male","37","83888","552061","Fun study.  My strategy was to try and hold onto my points, but if the other person had first decision and tried to get points, I subtracted them.","2017-06-21 13:40:03","887"
"AQJWO4YPR3LUQ","sp_v3_pilot1","3GD6L00D3SY472127YAFVEGJPURM1U","Female","97","254392","873339","I picked zero points for each almost every time except for the one time that my partner took points from me. ","2017-06-21 13:40:12","888"
"AZZDXA6TV6737","sp_v3_pilot1","3A0EX8ZRN8P5EH88SYRFVLGZKGWYBF","Female","100","122249","626066","I tried to maximize both my and my partners points by choosing the option that changes nothing. Because my partners did not get greedy or rude, I did not need to punish anyone.","2017-06-21 13:40:31","889"
"A26M2EYRTI3QPP","sp_v3_pilot1","36H9ULYP62V5W9PPB0C84OSWMAFJFO","Male","39","78360","456373","Ryan was a dick.","2017-06-21 13:40:51","890"
"A3O7X46E3REM7I","sp_v3_pilot1","3Z2R0DQ0JHFDKZRL94MANPLF8YEE2E","Male","47","114192","665349","I tried to get the most bonus but if the other guy was costing me money, I returned the favor.","2017-06-21 13:41:07","891"
"AAJ1ZQECDZBEE","sp_v3_pilot1","358UUM7WRZ49F4TW1MN5IN16Y3QR7K","Male","30","103190","694618","if someone treated me fair , I would be fair. If they took from me, I would take from them","2017-06-21 13:41:17","892"
"A2WYCY1FMQOD5F","sp_v3_pilot1","3HPZF4IVNMUOOM0E6YNA65MH21WYCM","Male","43","89753","591899",,"2017-06-21 13:41:20","893"
"A3GDTSFHVBUJHD","sp_v3_pilot1","3R6P78PK7KC5OCHPYEWUOFFHLR6TG2","Female","97","109422","586404","i just wanted to maximize the amount made for both and only way was to chose the 0 0 option, onl one idiot chose option A but only 1 time","2017-06-21 13:41:27","894"
"A3L1DZWXQFWB90","sp_v3_pilot1","3TOK3KHVJTJ6IR1G9U61OSW1NG6O78","Female","76","34144","510368",,"2017-06-21 13:41:28","895"
"AAU61MG2R6RH0","sp_v3_pilot1","34S9DKFK73Q7FQX5VOWOMGGT15AYN4","Female","81","98006","812944","My strategy was to lose the least amount of points as well as make as many as I could.","2017-06-21 13:41:48","896"
"AIEX8207RDGF4
","sp_v3_pilot1","3EWIJTFFVO86OPO7UHIW41S0B0UE0U","Female","91","76727","642147",,"2017-06-21 13:42:13","897"
"A1RSJ45RXTREWN
","sp_v3_pilot1","3OSWBBLG1EY9T9GI1YWJ7XXQLVEDXV","Female","60","77619","1046903","I decided it would be best to choose the 0 point option all throughout, even the second round when the other player kept subtracting points from me. I focused on losing the least points as opposed to gaining points.","2017-06-21 13:42:30","898"
"A3C0LPVN749UF3
","sp_v3_pilot1","32M8BPYGATNFFY1E42XQA8D8AAQGI8","Female","100","86027","563518","I was jsut trying to be nice ","2017-06-21 13:43:47","899"
"A3G2NVZWJQH4YH","sp_v3_pilot1","3MHW492WW0EKTEH0ECU422NZEYYVMS","Female","83","99306","636707","Thank you","2017-06-21 13:44:57","900"
"A1RV2LERVS0A4H","sp_v3_pilot1","3TYCR1GOTCKHWG4PFXISNVL624ELZG","Female","40","126482","988853","I always reacted to what my partner did when I played second, which meant that I kept things fair if they were fair and punished them when they were not, even at my own expense. Whenever I went first, of course I chose the fair option always.","2017-06-21 13:45:18","901"
"A2FQLGZ76VPQ5A","sp_v3_pilot1","3YMU66OBIN9FJ3QUYKF5AWCTAXBGHF","Female","58","371017","1241162","to lose the least possible","2017-06-21 13:46:06","902"
"A21ZMR7O42OSMI","sp_v3_pilot1","3SUWZRL0MYE120AMW6YDD22RO3GE6V","Female","97","236982","870487","My strategy was to be fair to the other person. ","2017-06-21 13:47:23","903"
"AXJ1PE87PD0KK","sp_v3_pilot1","32XVDSJFPZYBWNJYQ2AT0XQOH05M2B","Female","100","87376","501122","I just wanted to be fair.","2017-06-21 13:47:59","904"
"A1XFAUNS2LQL9H","sp_v3_pilot1","31QNSG6A5RU3XZE02DH5R6618B378P","Male","92","48970","473900","strategy was to keep as many points as possible","2017-06-21 13:48:02","905"
"A2P76QVLSGJR45","sp_v3_pilot1","3TGOYF991XN3T7X9IOBLXQ2ADDSUUU","Female","31","52875","488016","I tired to be fair, but it didn't always pay off.","2017-06-21 13:48:06","906"
"A18LPAFMK1B06K","sp_v3_pilot1","3X1FV8S5JXSK14LE39W9PX32ICMVGK","Male","97","54640","520407",,"2017-06-21 13:48:14","907"
"A3CZFTXS9EQSY3","sp_v3_pilot1","34FNN24DCMA3P1RZRO02SZG7AKAY5E","Female","98","89251","568611","I just did it even so I didnt lose anymore.  Thank you","2017-06-21 13:48:20","908"
