"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A25VT8VMVWY4X0","sp_v3_real2","3A4TN5196KJ22RAPWYJMK5REC54HCR","Male","109","61867","463371","Try to cooperate as much as possible.","2017-06-21 18:13:41","966"
"A1ALBJU1XOKYFH","sp_v3_real2","3DY46V3X3PJ5NDHFGMV5H2IEFFR55Q","Male","120","80129","494500","My strat was to not be punished.","2017-06-21 18:14:08","967"
"A9KUDJIUCERON","sp_v3_real2","3PWWM24LHSZWBYHUW10AVFPTXV182U","Male","120","65985","479149","play nice","2017-06-21 18:14:22","968"
"A1R6ZLM9V362F7","sp_v3_real2","37UQDCYH6XW18BADA6SFJKQ9J9O7VE","Male","73","79381","508685","I don't understand what you are looking for...it's a lose lose situation for all.","2017-06-21 18:14:22","969"
"A1AF6EW9YUMER9","sp_v3_real2","3EO896NRAWWFFE7Q6KHXLS7XDJ8JTH","Male","80","76878","489249","My goal was to minimize my own losses. When my partner continually chose to deduct points from me, I did not choose to do so for them since it would cost me points as well.","2017-06-21 18:14:28","970"
"A6M7YIG6KKHPA","sp_v3_real2","3RJSC4XJ10V6S6VEJGPT07MNY7G505","Male","111","72976","436833","Cooperation seemed like the best option..","2017-06-21 18:14:40","971"
"ANPMO5PXKDTXF","sp_v3_real2","3K772S5NP8CHZPU3SPPHATRHXHHEHH","Male","117","58179","509014","No","2017-06-21 18:14:40","972"
"AZZA3J049G7R5","sp_v3_real2","39LOEL67OS6LWGDD01EFEPUL391835","Female","88","103633","507848",,"2017-06-21 18:14:48","973"
"AKZA41N1TOI1H","sp_v3_real2","34QN5IT0TZSPFOEGHEWWCRWE0XH082","Male","-12","68739","525849",,"2017-06-21 18:14:50","974"
"A3T1GP1D5ECT8A","sp_v3_real2","3W8CV64QJ2004T3MKE9VIFQ66K1H9A","Male","88","139410","534937","I was trying to maximize my money","2017-06-21 18:15:05","976"
"A2EFD7AW29IXUR","sp_v3_real2","3WETL7AQWT929YUB237C25KU1J0530","Male","120","102552","560468","I am not taking anything besides no one has taken from me","2017-06-21 18:15:05","977"
"A9V0DAEKT43K0","sp_v3_real2","3300DTYQT2IUCIT6BFCBJ7JIO4DEQD","Female","120","90687","515639","Well, I figured if I could keep all my 120 points, without losing any, then I didn't really need to gain any either. ","2017-06-21 18:15:10","978"
"A2NGQVFMEXXA7G","sp_v3_real2","3E47SOBEYQX2YML92G17KHSTCIJCIF","Female","80","115743","568932","My strategy was to not lose as many points as possible.","2017-06-21 18:15:43","979"
"AFZ7Z5FOWM9VN
","sp_v3_real2","379J5II41OHJLLDTJA4F2LKOEYQELO","Male","70","79011","532671",,"2017-06-21 18:15:44","980"
