"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A2541C8MY0BYV3","sp_v2","3IGI0VL647LVLCT3P1NQKPIRLEXNO4","Male","33","40542","276287",,"2017-05-29 18:47:09","61"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","Male","97","82374","312898","i was trying to keep as much of the bonus as possible","2017-05-29 18:47:29","62"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","Male","97","45098","283848","No","2017-05-29 18:47:36","63"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","Male","57","56304","312948","I tried to be nice while maximizing my points.","2017-05-29 18:47:41","64"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","Male","77","53186","283694","Just try not to decrease my points as much as possible.","2017-05-29 18:47:49","65"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","Female","86","52996","317352","I went for the most points for both people, then eventually I was tired of Sam being a jerk.","2017-05-29 18:48:01","66"
"AY832D29HUURG
","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1EXB","Male","65","31472","337193","This was sadistic. ","2017-05-29 18:48:21","67"
"A3NVSZTO346FN","sp_v2","3UNH76FOCS61X8C5JNHO91RTUYMMYE","Male","67","50792","321987","I wanted to make the most money for myself.","2017-05-29 18:48:21","68"
"A13WGKUTP5127J","sp_v2","3GM6G9ZBKNY5GMDB9HUP1KZEFW4MTP","Male","91","68798","329900","no","2017-05-29 18:48:23","69"
"A1X258MWJFEMTW","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1XEU","Female","58","62186","313908","well i originally went for minimizing how much we both lost, but the first guy seemed greedy so i wanted to take his points.","2017-05-29 18:48:29","70"
"A33AZCOKCCTUXV","sp_v2","3DYGAII7PL9Y99IWKTSMDJIM0UGQPB","Male","37","57010","363271","to punish a player who was greedy when I made the second decision and when I made the first decision to be fair","2017-05-29 18:48:43","71"
"A12VU5YSHGQH2V","sp_v2","3TS1AR6UQQFCCEONARNB1YNNTY27FS","Male","69","84292","321406","Get as many points as possible, while occasionally punishing the person deciding what to do first","2017-05-29 18:48:44","72"
"A34J6IBB4DGYP1","sp_v2","3N2BF7Y2VQVFBDMG9ND0N1WQ429MHF","Female","36","59553","354059","No comments. My strategy was to maximize my gains and minimize my losses.","2017-05-29 18:48:46","73"
"A2TVJTQ4VXATE6","sp_v2","3WMOAN2SRBYQBW20QD94FHCZH7UNV6","Male","64","77341","347986",,"2017-05-29 18:48:50","74"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","Male","86","38826","376304","We kind of came to a consensus where we both choose the option where we get 0 after the first few turns. Apart from that, no real strategy.","2017-05-29 18:48:58","75"
"ALYR5CI2SM2JC","sp_v2","3TVSS0C0E111LY7PDJ0CAI15DYIWTQ","Male","97","68028","360442","My strategy was to choose the 2nd option as long as my partner cooperated with me so we can maximize our bonuses.","2017-05-29 18:48:58","76"
"A5BEH1IONAYMB","sp_v2","3L4D84MILZTPA5GV6Q08794908EHJ6","Female","71","70507","390241","I retaliated against the player who penalized me at a rate that would hurt him more than me.","2017-05-29 18:49:03","77"
"AZHHZWD7V6TNA","sp_v2","3RJSC4XJ10V6S6VEJGPT07MNWQI507","Male","70","126547","342987",,"2017-05-29 18:49:09","78"
"A39MOCMDRIOSJM","sp_v2","3KXIR214I4HVSXUSKYAXE39OTS724J","Male","50","80842","341942","I wanted to punish the player for stealing my money","2017-05-29 18:49:13","79"
"A3BGIK3STL9345","sp_v2","31JLPPHS2UVOH80T7I3BBBKLGX6O3P","Female","79","58070","367738","I figured making both of us lose points on the first part was pointless. I only chose to subtract points once, hoping to let my partner know I didn't appreciate him taking points away from me. Since he didn't change his behavior, I figured it was better to at least make sure my points went down as slowly as possible. On the second part, I didn't want to make my partner lose points, especially because that could make him want to subtract my points.","2017-05-29 18:49:15","80"
"A67BK7ZFFRV8G","sp_v2","3QXNC7EIPIWPTTXQM62ACNRPIM109T","Female","52","49729","344242","well, ryan kept taking away from me so i decided i would not do that to sam","2017-05-29 18:49:21","81"
"A39RZHJGA57EP4","sp_v2","33LKR6A5KEL8KXRMGVBRHSBBHL9T1O","Female","86","104350","381306","no","2017-05-29 18:49:24","82"
"A3QL8ZAD9BKWUF","sp_v2","3D8YOU6S9ELIRW78M6DIHKOU8AX6UR","Male","87","80544","376305","Fun study. Instead of just butchering our points we worked together to not lower our points at all. Great teammate i had.","2017-05-29 18:49:25","83"
"A1QEQOI98976S0","sp_v2","3F6HPJW4JD171ZDCU4GG9VSFDL5W2Y","Male","88","66566","396016","I FOUND THAT IF I DO NOT TAKE ANYTHING FROM MY OPPONENT HE/SHE WILL NOT TAKE ANYTHING FROM ME.","2017-05-29 18:49:28","84"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","Male","93","43941","426268","Try to minimize my losses!","2017-05-29 18:49:29","85"
"A2H6RIWM50KWA4","sp_v2","3DUZQ9U6SMPNR9U5Y9QQEBM5462VSQ","Female","24","106824","418649","first one with ryan sucked he kept giving him money and taking mine away we are partners he should not be taking it away second person we both decided not to take from one another","2017-05-29 18:49:35","86"
"A1P0XSCJ9XAV74","sp_v2","3JC6VJ2SABK2TJTWBIMMPDY05CUA53","Female","39","67123","384302","Treat others exactly how they treat you ","2017-05-29 18:49:39","87"
"A8SP23ECDU4F0","sp_v2","34S9DKFK73Q7FQX5VOWOMGGTZOWNYF","Male","82","176910","395127","NO","2017-05-29 18:49:42","88"
"ALDSIOBRWMZSI","sp_v2","3GFK2QRXX9IZ0WWZCNIE72VRXVWW5Z","Male","86","126107","421103","It seems like a losing game all around","2017-05-29 18:49:53","89"
"A1NKBXOTZAI1YK","sp_v2","32Q90QCQ1SM81FVBYASENL79NHMKES","Male","81","56614","321847","Just tried to maximize my own bonus.","2017-05-29 18:49:54","90"
"A1H162QMRV01SA","sp_v2","3SPJ0334214BW06KGQ4WT9ZCQ4RYJM","Female","95","87487","430058","I went with what would maximize my earnings","2017-05-29 18:49:58","91"
"A2N4DD7IS7EI2D","sp_v2","3C8HJ7UOP7V12YMAF9J7N80V0SQZMI","Male","81","69923","406771","My strategy was trying to be fair as possible.","2017-05-29 18:50:03","92"
"A3MMOZDMBZ8K42
","sp_v2","32Q90QCQ1SM81FVBYASENL79NHMEKM","Female","94","73015","439919",,"2017-05-29 18:50:05","93"
"A35SC4D5YNJGOW","sp_v2","3SITXWYCNVAGECIYN25DC79QGTOXBU","Male","49","75446","415653","To act fairly in response to my partners decision. Choosing to deduct points if they deduct my points in effort to change their choice.","2017-05-29 18:50:07","94"
"A22KRF782ELLB0","sp_v2","3G0WWMR1UVLY6O6J4EFU9UDR0FFNQC","Male","96","109408","444203","I wanted to avoid taking anything away from the other players in the first game, so I always chose option B there. In the second game, I chose to not take anything away for the first couple of rounds even though they were taking from me. I eventually decided to punish them, and after that, they didn't take anything away from me anymore, so I just kept going along with that and not punishing them anymore after that initial punishment.","2017-05-29 18:50:07","95"
"A1PGI3MHP9JZL4","sp_v2","3HUTX6F6VUOZWQ4A3IP6S1FTAJ72OT","Male","36","70936","327183",,"2017-05-29 18:50:10","96"
"A1J9IYN46FX00O","sp_v2","3E13VNJ1NNWIBJBBMJCN3L9264U1IG","Male","97","67595","398164","I wanted it to make it as fair as possible. I only chose option that subtracted points in retaliation for when the other player chose Option A. When they stopped, I switched back to the other option.","2017-05-29 18:50:15","97"
"A12DBV9FNAOFEM","sp_v2","3Z7VU45IPYI4690LMN093GCS2HVZ1A","Male","97","96844","424891","I tried to establish an understanding with my opponent.  ","2017-05-29 18:50:18","98"
"AFQKLIYNCVZTL","sp_v2","36ZN444YTRZ37BICSLAYFHMAZF3OIP","Male","92","64357","366902","I decided to choose the double zero option to retain my bonus.","2017-05-29 18:50:23","99"
"A3Q6O47Z0YRJL1","sp_v2","3S96KQ6I9M52CS7YWOVMIUCK6ICTDE","Male","94","122626","450620","Regardless of status of other people, if someone is performing the same task they are doing it for the same reason that I am. Option B made sense in order to be reasonable, Option C was chosen as an incentive for the partner to not choose Option A","2017-05-29 18:50:26","100"
